id,timestamp,suhu,kelembapan,label_suhu_kelembapan,mq135,label_kualitas_udara
1,2025-06-01 00:00:00,27.4,81.9,lembab,452.5,sangat baik
2,2025-06-01 00:10:00,27.3,81.8,lembab,455.0,sangat baik
3,2025-06-01 00:20:00,27.1,81.6,lembab,460.0,sangat baik
4,2025-06-01 00:30:00,26.9,81.4,lembab,465.0,sangat baik
5,2025-06-01 00:40:00,26.7,81.2,lembab,470.0,sangat baik
6,2025-06-01 00:50:00,26.6,81.1,lembab,475.0,sangat baik
7,2025-06-01 01:00:00,26.7,81.2,lembab,480.0,sangat baik
8,2025-06-01 01:10:00,26.9,81.4,lembab,485.0,sangat baik
9,2025-06-01 01:20:00,27.1,81.6,lembab,490.0,sangat baik
10,2025-06-01 01:30:00,27.3,81.8,lembab,495.0,sangat baik
11,2025-06-01 01:40:00,27.5,82.0,lembab,500.0,sangat baik
12,2025-06-01 01:50:00,27.7,82.2,lembab,505.0,sangat baik
13,2025-06-01 02:00:00,27.9,82.4,lembab,510.0,sangat baik
14,2025-06-01 02:10:00,28.1,82.6,lembab,515.0,sangat baik
15,2025-06-01 02:20:00,28.3,82.8,lembab,520.0,sangat baik
16,2025-06-01 02:30:00,28.5,83.0,lembab,525.0,sangat baik
17,2025-06-01 02:40:00,28.7,83.2,lembab,530.0,sangat baik
18,2025-06-01 02:50:00,28.9,83.4,lembab,535.0,sangat baik
19,2025-06-01 03:00:00,29.0,83.5,lembab,536.7,sangat baik
20,2025-06-01 03:10:00,29.0,83.4,lembab,535.0,sangat baik
21,2025-06-01 03:20:00,28.8,83.2,lembab,530.0,sangat baik
22,2025-06-01 03:30:00,28.6,83.0,lembab,525.0,sangat baik
23,2025-06-01 03:40:00,28.4,82.8,lembab,520.0,sangat baik
24,2025-06-01 03:50:00,28.2,82.6,lembab,515.0,sangat baik
25,2025-06-01 04:00:00,28.0,82.4,lembab,510.0,sangat baik
26,2025-06-01 04:10:00,27.8,82.2,lembab,505.0,sangat baik
27,2025-06-01 04:20:00,26.9,81.2,lembab,532.0,sangat baik
28,2025-06-01 04:30:00,26.6,80.5,nyaman-lembab,497.0,sangat baik
29,2025-06-01 04:40:00,26.2,82.7,lembab,527.7,sangat baik
30,2025-06-01 04:50:00,27.7,81.3,lembab,492.3,sangat baik
31,2025-06-01 05:00:00,27.9,82.6,gerah,492.3,sangat baik
32,2025-06-01 05:10:00,27.5,79.7,lembab,428.3,sangat baik
33,2025-06-01 05:20:00,25.9,80.9,nyaman-lembab,400.0,sangat baik
34,2025-06-01 05:30:00,25.1,78.8,nyaman-lembab,423.3,sangat baik
35,2025-06-01 05:40:00,25.8,79.4,nyaman-lembab,475.0,sangat baik
36,2025-06-01 05:50:00,25.9,80.5,lembab,475.0,sangat baik
37,2025-06-01 06:00:00,26.0,81.5,lembab,483.7,sangat baik
38,2025-06-01 06:10:00,26.2,82.5,lembab,432.0,sangat baik
39,2025-06-01 06:20:00,27.2,81.7,lembab,458.3,sangat baik
40,2025-06-01 06:30:00,27.7,84.2,gerah,426.3,sangat baik
41,2025-06-01 06:40:00,27.5,85.7,lembab,426.3,sangat baik
42,2025-06-01 06:50:00,28.3,88.2,lembab,400.0,sangat baik
43,2025-06-01 07:00:00,28.6,84.5,lembab,400.0,sangat baik
44,2025-06-01 07:10:00,28.7,82.5,gerah,436.3,sangat baik
45,2025-06-01 07:20:00,27.3,81.3,lembab,436.3,sangat baik
46,2025-06-01 07:30:00,27.0,84.9,lembab,436.3,sangat baik
47,2025-06-01 07:40:00,26.3,84.4,lembab,478.7,sangat baik
48,2025-06-01 07:50:00,26.3,86.3,lembab,529.7,sangat baik
